date,region_code,region,cases,deceased,tests,positive_tests,test_positivity,active_hospital_admissions,active_icu,population,acum14_cases,acum14_cases_per_100k,acum14_positive_tests,acum14_positive_tests_per_100k,acum7_positive_tests,acum7_positive_tests_per_100k,test_positivity_rate7,test_positivity_rate14,test7_av,acum14_deceased_per_1M
2020-09-11,0,Illes_Balears,0,0,3571,291,"8,15%",320,62,1149460,,,,,,,"8,58%","9,72%",,
2020-09-11,1,Mallorca,,,,234,,262,52,896038,,,,,,,"9,08%","10,20%",,
2020-09-11,2,Menorca,,,,7,,5,3,93397,,,,,,,"2,13%","3,65%",,
2020-09-11,3,Eivissa,,,,41,,53,7,147914,,,,,,,"11,51%","12,56%",,
2020-09-11,4,Formentera,,,,0,,,,12111,,,,,,,"10,83%",,,
2020-09-12,0,Illes_Balears,0,0,3149,181,"5,75%",326,66,1149460,,,,,,,"8,20%","9,21%",,
2020-09-12,1,Mallorca,,,,118,,270,56,896038,,,,,,,"8,68%","9,65%",,
2020-09-12,2,Menorca,,,,1,,5,3,93397,,,,,,,"1,90%","3,46%",,
2020-09-12,3,Eivissa,,,,54,,51,7,147914,,,,,,,"10,97%","12,04%",,
2020-09-12,4,Formentera,,,,0,,,,12111,,,,,,,"5,34%",,,
2020-09-13,0,Illes_Balears,273,1,1346,89,"6,61%",327,66,1149460,,,,,,,"8,22%","9,09%",,
2020-09-13,1,Mallorca,,,,86,,273,56,896038,,,,,,,"8,85%","9,56%",,
2020-09-13,2,Menorca,,,,0,,4,2,93397,,,,,,,"1,68%","3,24%",,
2020-09-13,3,Eivissa,,,,0,,50,8,147914,,,,,,,"10,91%","12,04%",,
2020-09-13,4,Formentera,,,,0,,,,12111,,,,,,,"5,34%",,,
2020-09-14,0,Illes_Balears,276,5,2912,239,"8,21%",318,69,1149460,,,,,,,"8,23%","9,08%",,
2020-09-14,1,Mallorca,,,,178,,265,59,896038,,,,,,,"8,92%","9,57%",,
2020-09-14,2,Menorca,,,,1,,2,2,93397,,,,,,,"1,30%","2,90%",,
2020-09-14,3,Eivissa,,,,50,,51,8,147914,,,,,,,"11,28%","12,01%",,
2020-09-14,4,Formentera,,,,3,,,,12111,,,,,,,"5,88%",,,
2020-09-15,0,Illes_Balears,173,4,3446,277,"8,04%",311,64,1149460,,,,,,,"8,08%","8,83%",,
2020-09-15,1,Mallorca,,,,209,,249,57,896038,,,,,,,"8,73%","9,32%",,
2020-09-15,2,Menorca,,,,1,,2,2,93397,,,,,,,"0,82%","2,54%",,
2020-09-15,3,Eivissa,,,,62,,60,5,147914,,,,,,,"11,25%","11,73%",,
2020-09-15,4,Formentera,,,,2,,,,12111,,,,,,,"7,27%",,,
2020-09-16,0,Illes_Balears,602,1,3321,268,"8,07%",299,63,1149460,,,,,,,"8,01%","8,58%",,
2020-09-16,1,Mallorca,,,,213,,239,58,896038,,,,,,,"8,61%","9,05%",,
2020-09-16,2,Menorca,,,,2,,3,1,93397,,,,,,,"0,91%","1,97%",,
2020-09-16,3,Eivissa,,,,49,,57,4,147914,,,,,,,"11,45%","11,88%",,
2020-09-16,4,Formentera,,,,0,,,,12111,,,,,,,"5,94%",,,
2020-09-17,0,Illes_Balears,0,1,3189,220,"6,90%",307,63,1149460,,,,,,,"7,48%","8,29%",2991,
2020-09-17,1,Mallorca,,,,168,,246,57,896038,,,,,,,"7,84%","8,70%",,
2020-09-17,2,Menorca,,,,4,,4,1,93397,,,,,,,"1,03%","1,51%",,
2020-09-17,3,Eivissa,,,,37,,57,5,147914,,,,,,,"11,45%","11,82%",,
2020-09-17,4,Formentera,,,,1,,,,12111,,,,,,,"6,45%",,,
2020-09-18,0,Illes_Balears,0,0,3773,167,"4,43%",305,65,1149460,,,,,,,"6,82%","7,70%",3019,
2020-09-18,1,Mallorca,,,,114,,248,57,896038,,,,,,,"6,94%","8,02%",,
2020-09-18,2,Menorca,,,,5,,3,1,93397,,,,,,,"0,99%","1,54%",,
2020-09-18,3,Eivissa,,,,44,,54,4,147914,,,,,,,"11,20%","11,35%",,
2020-09-18,4,Formentera,,,,0,,,,12111,,,,,,,"6,38%",,,
2020-09-19,0,Illes_Balears,0,0,2169,114,"5,26%",316,66,1149460,,,,,,,"6,82%","7,54%",2879,
2020-09-19,1,Mallorca,,,,79,,259,61,896038,,,,,,,"6,99%","7,88%",,
2020-09-19,2,Menorca,,,,2,,2,1,93397,,,,,,,"1,05%","1,46%",,
2020-09-19,3,Eivissa,,,,28,,55,4,147914,,,,,,,"11,24%","11,10%",,
2020-09-19,4,Formentera,,,,0,,,,12111,,,,,,,"7,89%",,,
2020-09-20,0,Illes_Balears,582,7,1766,106,"6,00%",328,64,1149460,,,,,,,"6,76%","7,50%",2939,
2020-09-20,1,Mallorca,,,,98,,268,60,896038,,,,,,,"6,84%","7,85%",,
2020-09-20,2,Menorca,,,,0,,3,0,93397,,,,,,,"1,15%","1,42%",,
2020-09-20,3,Eivissa,,,,4,,57,4,147914,,,,,,,"11,16%","11,03%",,
2020-09-20,4,Formentera,,,,0,,,,12111,,,,,,,"8,00%",,,
2020-09-21,0,Illes_Balears,213,2,2848,163,"5,72%",294,66,1149460,,,,,,,"6,41%","7,33%",2930,
2020-09-21,1,Mallorca,,,,103,,238,60,896038,,,,,,,"6,27%","7,58%",,
2020-09-21,2,Menorca,,,,3,,3,0,93397,,,,,,,"1,46%","1,37%",,
2020-09-21,3,Eivissa,,,,46,,53,6,147914,,,,,,,"11,51%","11,39%",,
